Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Best K-Fold F1 Score,Final Test Accuracy,Final Test Precision,Final Test Recall,Final Test F1 Score,Final Test FPR,Final Test FNR,Ranking Time Taken,Feature Selection Time Taken,Evaluation Time Taken,Total Time Taken
function,WFI-RF,rem_4,RF,macro,11,"control_scheme, pressure_measurement, address, solenoid",0.9219800373583724,0.9846132128740824,0.9373376227686755,0.8905734233087444,0.91184618482672,0.0027966101694915256,0.14668367346938777,6.009905099868774,5.051201581954956,39.47147297859192,50.53257966041565
function,WFI-RF,rem_4,RF,weighted,11,"control_scheme, pressure_measurement, address, solenoid",0.9865907293831276,0.9847543760587238,0.9843542933652151,0.9847543760587238,0.9844165603576867,0.002542372881355932,0.14285714285714285,6.009905099868774,5.051201581954956,39.72936177253723,50.79046845436096
function,WFI-RF,rem_5,RF,micro,10,"system_mode, pressure_measurement, address, control_scheme, solenoid",0.9840303511558144,0.9810841332580463,0.9810841332580463,0.9810841332580463,0.9810841332580463,0.0034745762711864405,0.2372448979591837,6.009905099868774,5.051201581954956,41.35773468017578,52.41884136199951
function,WFI-RF,rem_5,RF,macro,10,"system_mode, pressure_measurement, address, control_scheme, solenoid",0.9097098156815534,0.9810841332580463,0.9324152018243853,0.8703902596255673,0.8980076272006756,0.0034745762711864405,0.2372448979591837,6.009905099868774,5.051201581954956,41.15389013290405,52.21499681472778
function,WFI-RF,rem_5,RF,weighted,10,"system_mode, pressure_measurement, address, control_scheme, solenoid",0.9833086081783847,0.9810841332580463,0.9803187505345768,0.9810841332580463,0.9803978286567658,0.0034745762711864405,0.2372448979591837,6.009905099868774,5.051201581954956,41.104286432266235,52.165393114089966
function,WFI-RF,rem_6,RF,micro,9,"system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.978913005117346,0.9765316205533597,0.9765316205533597,0.9765316205533597,0.9765316205533597,0.00538135593220339,0.34311224489795916,6.009905099868774,5.051201581954956,43.15401554107666,54.21512222290039
function,WFI-RF,rem_6,RF,macro,9,"system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.8875035940743278,0.9765316205533597,0.9196845108780539,0.8473509185724722,0.8786087756292807,0.00538135593220339,0.34311224489795916,6.009905099868774,5.051201581954956,43.01655340194702,54.07766008377075
function,WFI-RF,rem_6,RF,weighted,9,"system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.9776468969538974,0.9765316205533597,0.9752230958540884,0.9765316205533597,0.9754351044769592,0.00538135593220339,0.34311224489795916,6.009905099868774,5.051201581954956,43.300360441207886,54.361467123031616
function,WFI-RF,rem_7,RF,micro,8,"rate, system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.9722075172048703,0.9700028232636928,0.9700028232636928,0.9700028232636928,0.9700028232636928,0.005296610169491525,0.35331632653061223,6.009905099868774,5.051201581954956,35.19634294509888,46.25744962692261
function,WFI-RF,rem_7,RF,macro,8,"rate, system_mode, pressure_measurement, address, pump, control_scheme, solenoid",0.8787590719721029,0.9700381140598532,0.9144491708499968,0.832289760509865,0.8674228386214923,0.0051271186440677964,0.3622448979591837,6.009905099868774,5.051201581954956,35.31475234031677,46.3758590221405
