Input File,Rank Method,Feature Selection,Model Type,Average Type,Number of Features,Removed Features,Best K-Fold F1 Score,Accuracy,Precision,Recall,F1 Score,FPR,FNR,Ranking Time,Feature Selection Time,Evaluation Time,Total Time
response,WFI-RF,rem_7,RF,weighted,5,"system_mode, pump, control_scheme, solenoid, cycle_time, rate, gain",0.9656,0.9643,0.9637,0.9643,0.9637,0.0015,0.0863,7.9243,7.0032,72.6869,87.6145
response,WFI-RF,rem_8,RF,micro,4,"system_mode, pump, control_scheme, solenoid, crc_rate, cycle_time, rate, gain",0.9711,0.971,0.971,0.971,0.971,0.0016,0.0594,7.9243,7.0032,63.7398,78.6674
response,WFI-RF,rem_8,RF,weighted,4,"system_mode, pump, control_scheme, solenoid, crc_rate, cycle_time, rate, gain",0.9709,0.971,0.9706,0.971,0.9707,0.0016,0.0594,7.9243,7.0032,63.0551,77.9826
response,WFI-RF,rem_9,RF,micro,3,"system_mode, pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, rate, gain",0.9666,0.9642,0.9642,0.9642,0.9642,0.0031,0.0652,7.9243,7.0032,43.9332,58.8607
response,WFI-RF,rem_9,RF,weighted,3,"system_mode, pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, rate, gain",0.9663,0.9638,0.9632,0.9638,0.9634,0.0028,0.0613,7.9243,7.0032,43.3588,58.2863
response,WFI-RF,rem_10,RF,micro,2,"system_mode, pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.939,0.9371,0.9371,0.9371,0.9371,0.0051,0.0843,7.9243,7.0032,46.3844,61.312
response,WFI-RF,rem_10,RF,weighted,2,"system_mode, pump, deadband, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.9385,0.9371,0.9367,0.9371,0.9367,0.0051,0.0843,7.9243,7.0032,46.4859,61.4135
response,WFI-RF,rem_11,RF,micro,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.893,0.8893,0.8893,0.8893,0.8893,0.0023,0.1003,7.9243,7.0032,51.1217,66.0493
response,WFI-RF,rem_11,RF,weighted,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, reset_rate, rate, gain",0.8899,0.8893,0.8975,0.8893,0.8855,0.0023,0.1003,7.9243,7.0032,50.7299,65.6574
response,SP,RFE,XGB,micro,10,"system_mode, crc_rate",0.967,0.9646,0.9646,0.9646,0.9646,0.0006,0.0895,0.0903,11.1759,8.1213,19.3875
response,SP,RFE,XGB,weighted,10,"system_mode, crc_rate",0.9664,0.9646,0.9644,0.9646,0.9639,0.0006,0.0895,0.0903,11.1759,8.4821,19.7484
response,SP,SPFS,XGB,micro,12,,0.9675,0.9652,0.9652,0.9652,0.9652,0.0007,0.0843,0.0903,9.8754,9.9252,19.8909
response,SP,SPFS,XGB,weighted,12,,0.967,0.9652,0.965,0.9652,0.9647,0.0007,0.0843,0.0903,9.8754,11.7137,21.6794
response,SP,None,XGB,micro,12,,0.9679,0.9662,0.9662,0.9662,0.9662,0.0006,0.0875,0.0903,1.2529,9.9475,11.2908
response,SP,None,XGB,weighted,12,,0.9672,0.9662,0.966,0.9662,0.9656,0.0006,0.0875,0.0903,1.2529,10.1651,11.5083
response,SP,rem_1,XGB,micro,11,gain,0.9668,0.9623,0.9623,0.9623,0.9623,0.0009,0.0914,0.0903,1.2529,10.5921,11.9354
response,SP,rem_1,XGB,weighted,11,gain,0.9662,0.9623,0.962,0.9623,0.9616,0.0009,0.0914,0.0903,1.2529,9.7353,11.0785
response,SP,rem_2,XGB,micro,10,"gain, pressure_measurement",0.8272,0.8168,0.8168,0.8168,0.8168,0.0099,0.5476,0.0903,1.2529,8.9883,10.3315
response,SP,rem_2,XGB,weighted,10,"gain, pressure_measurement",0.8093,0.8168,0.8172,0.8168,0.7975,0.0099,0.5476,0.0903,1.2529,9.0179,10.3611
response,SP,rem_3,XGB,micro,9,"gain, crc_rate, pressure_measurement",0.8246,0.8199,0.8199,0.8199,0.8199,0.0106,0.5144,0.0903,1.2529,8.7461,10.0893
response,SP,rem_3,XGB,weighted,9,"gain, crc_rate, pressure_measurement",0.8075,0.8199,0.8197,0.8199,0.8032,0.0106,0.5144,0.0903,1.2529,8.2938,9.6371
response,SP,rem_4,XGB,micro,8,"crc_rate, gain, setpoint, pressure_measurement",0.7994,0.7998,0.7998,0.7998,0.7998,0.0109,0.5712,0.0903,1.2529,7.5798,8.9231
response,SP,rem_4,XGB,weighted,8,"crc_rate, gain, setpoint, pressure_measurement",0.7756,0.7998,0.7996,0.7998,0.7757,0.0109,0.5712,0.0903,1.2529,7.8799,9.2232
response,SP,rem_5,XGB,micro,7,"system_mode, setpoint, crc_rate, pressure_measurement, gain",0.791,0.7918,0.7918,0.7918,0.7918,0.0133,0.5827,0.0903,1.2529,7.4851,8.8283
response,SP,rem_5,XGB,weighted,7,"system_mode, setpoint, crc_rate, pressure_measurement, gain",0.7628,0.7918,0.7921,0.7918,0.7639,0.0133,0.5827,0.0903,1.2529,7.0868,8.43
response,SP,rem_6,XGB,micro,6,"system_mode, setpoint, solenoid, crc_rate, pressure_measurement, gain",0.7847,0.7826,0.7826,0.7826,0.7826,0.014,0.6077,0.0903,1.2529,6.9409,8.2842
response,SP,rem_6,XGB,weighted,6,"system_mode, setpoint, solenoid, crc_rate, pressure_measurement, gain",0.7548,0.7826,0.7808,0.7826,0.7519,0.014,0.6077,0.0903,1.2529,6.877,8.2203
response,SP,rem_7,XGB,micro,5,"system_mode, setpoint, control_scheme, solenoid, crc_rate, pressure_measurement, gain",0.7821,0.7776,0.7776,0.7776,0.7776,0.0123,0.6403,0.0903,1.2529,7.1668,8.51
response,SP,rem_7,XGB,weighted,5,"system_mode, setpoint, control_scheme, solenoid, crc_rate, pressure_measurement, gain",0.7504,0.7824,0.7815,0.7824,0.7507,0.0112,0.6141,0.0903,1.2529,6.8366,8.1799
response,SP,rem_8,XGB,micro,4,"system_mode, pump, setpoint, control_scheme, solenoid, crc_rate, pressure_measurement, gain",0.7768,0.7755,0.7755,0.7755,0.7755,0.0113,0.6435,0.0903,1.2529,6.4402,7.7834
response,SP,rem_8,XGB,weighted,4,"system_mode, pump, setpoint, control_scheme, solenoid, crc_rate, pressure_measurement, gain",0.7424,0.7735,0.7729,0.7735,0.7376,0.0115,0.669,0.0903,1.2529,6.7073,8.0506
response,SP,rem_9,XGB,micro,3,"system_mode, pump, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, gain",0.7562,0.7558,0.7558,0.7558,0.7558,0.0105,0.7304,0.0903,1.2529,6.2727,7.616
response,SP,rem_9,XGB,weighted,3,"system_mode, pump, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, gain",0.7082,0.7555,0.7587,0.7555,0.7067,0.0097,0.7425,0.0903,1.2529,6.6491,7.9923
response,SP,rem_10,XGB,micro,2,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, gain",0.7071,0.7062,0.7062,0.7062,0.7062,0.0012,0.9591,0.0903,1.2529,5.7131,7.0563
response,SP,rem_10,XGB,weighted,2,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, gain",0.6021,0.7062,0.705,0.7062,0.5999,0.0012,0.9591,0.0903,1.2529,5.7524,7.0956
response,SP,rem_11,XGB,micro,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, rate, gain",0.6999,0.6988,0.6988,0.6988,0.6988,0,0.9955,0.0903,1.2529,5.5978,6.941
response,SP,rem_11,XGB,weighted,1,"system_mode, pump, deadband, setpoint, control_scheme, solenoid, crc_rate, cycle_time, pressure_measurement, rate, gain",0.5825,0.6991,0.5917,0.6991,0.5817,0,0.9923,0.0903,1.2529,5.568,6.9112
response,SP,RFE,RF,micro,11,crc_rate,0.9817,0.9798,0.9798,0.9798,0.9798,0.0017,0.0377,0.0903,78.2,51.8731,130.1634
response,SP,RFE,RF,weighted,11,crc_rate,0.9815,0.9798,0.9797,0.9798,0.9797,0.0017,0.0377,0.0903,78.2,51.9517,130.242
response,SP,SPFS,RF,micro,12,,0.9757,0.9741,0.9741,0.9741,0.9741,0.0008,0.0671,0.0903,55.5634,60.9951,116.6488
response,SP,SPFS,RF,weighted,12,,0.9754,0.9741,0.974,0.9741,0.9737,0.0008,0.0671,0.0903,55.5634,63.9931,119.6469
response,SP,None,RF,micro,12,,0.9769,0.9766,0.9766,0.9766,0.9766,0.001,0.0633,0.0903,6.7055,62.5259,69.3217
response,SP,None,RF,weighted,12,,0.9767,0.9766,0.9766,0.9766,0.9763,0.001,0.0633,0.0903,6.7055,61.9791,68.7749
response,SP,rem_1,RF,micro,11,gain,0.9748,0.9747,0.9747,0.9747,0.9747,0.0006,0.069,0.0903,6.7055,61.8515,68.6473
response,SP,rem_1,RF,weighted,11,gain,0.9744,0.9747,0.9746,0.9747,0.9743,0.0006,0.069,0.0903,6.7055,64.2612,71.057
response,SP,rem_2,RF,micro,10,"gain, pressure_measurement",0.8898,0.8789,0.8789,0.8789,0.8789,0.0193,0.2812,0.0903,6.7055,65.6684,72.4642
response,SP,rem_2,RF,weighted,10,"gain, pressure_measurement",0.8877,0.8789,0.8757,0.8789,0.8756,0.0193,0.2812,0.0903,6.7055,62.3389,69.1347
response,SP,rem_3,RF,micro,9,"gain, crc_rate, pressure_measurement",0.858,0.8614,0.8614,0.8614,0.8614,0.0235,0.2837,0.0903,6.7055,39.8042,46.6
response,SP,rem_3,RF,weighted,9,"gain, crc_rate, pressure_measurement",0.8547,0.8621,0.859,0.8621,0.8598,0.0276,0.2722,0.0903,6.7055,40.3206,47.1164
response,SP,rem_4,RF,micro,8,"crc_rate, gain, setpoint, pressure_measurement",0.8337,0.8378,0.8378,0.8378,0.8378,0.0274,0.331,0.0903,6.7055,28.7542,35.55
response,SP,rem_4,RF,weighted,8,"crc_rate, gain, setpoint, pressure_measurement",0.8279,0.8378,0.8325,0.8378,0.8333,0.0274,0.331,0.0903,6.7055,28.4237,35.2195
response,SP,rem_5,RF,micro,7,"system_mode, setpoint, crc_rate, pressure_measurement, gain",0.8259,0.8317,0.8317,0.8317,0.8317,0.0271,0.3495,0.0903,6.7055,29.3245,36.1203
response,SP,rem_5,RF,weighted,7,"system_mode, setpoint, crc_rate, pressure_measurement, gain",0.8187,0.8317,0.8254,0.8317,0.8258,0.0271,0.3495,0.0903,6.7055,29.8243,36.6201
